Date,Open,High,Low,Close,Adj Close,Volume
2015-04-24,20.003799,20.504601,19.834700,20.348101,16.173008,18980166
2015-04-27,20.141500,20.504601,19.909800,19.966200,15.869472,17599547
2015-04-28,20.053801,20.379400,19.884800,20.348101,16.173008,13239031
2015-04-29,20.229200,20.366899,19.728300,19.740801,15.690324,20348967
2015-04-30,19.740801,20.153999,19.697001,20.147800,16.013813,14777294
2015-05-04,20.273001,20.542200,20.172800,20.247900,16.093372,11272239
2015-05-05,20.047600,20.492100,19.847200,20.316799,16.161901,14615817
2015-05-06,20.266701,20.441999,19.615601,19.815901,15.763442,13968951
2015-05-07,19.628099,19.841000,19.509100,19.740801,15.703697,7899591
2015-05-08,20.078899,20.110201,19.552999,19.815901,15.763442,8371564
2015-05-11,19.972500,19.997499,19.634399,19.753300,15.713640,9792753
2015-05-12,19.640600,19.803400,19.552999,19.552999,15.554308,6313572
2015-05-13,19.565500,19.678200,19.277500,19.358900,15.399900,9711615
2015-05-14,19.409000,19.828400,19.258699,19.803400,15.753500,8617693
2015-05-15,19.797100,20.210400,19.671900,20.147800,16.027473,9383869
2015-05-18,20.222900,20.254200,19.471600,19.634399,15.619056,14891814
2015-05-19,19.697001,19.747101,19.108400,19.459000,15.479527,9408626
2015-05-20,19.164801,19.302500,18.864300,18.908100,15.041286,19693795
2015-05-21,18.770300,18.826700,18.357100,18.682699,14.861989,21900647
2015-05-22,18.482300,18.532400,18.094200,18.156799,14.443635,29969062
2015-05-25,18.213100,18.519899,18.112900,18.344601,14.593031,6834419
2015-05-26,18.231899,18.263201,17.687201,17.687201,14.070068,21369897
2015-05-27,17.881300,18.369600,17.624599,18.332100,14.583085,24338932
2015-05-28,18.144300,18.194300,17.799900,18.119200,14.413717,22342432
2015-05-29,18.144300,18.144300,17.643400,17.655899,14.045173,24118039
2015-06-01,17.743500,17.868799,17.530701,17.549500,13.960530,10511333
2015-06-02,17.762300,18.144300,17.724800,18.138000,14.444298,15730024
2015-06-03,18.025299,18.025299,17.568199,17.649599,14.055358,31378272
2015-06-05,17.530701,17.593300,17.242701,17.274000,13.756242,14037152
2015-06-08,17.349100,17.511900,17.217600,17.255199,13.741276,13384536
2015-06-09,17.305300,17.436800,17.011000,17.155001,13.661479,17346071
2015-06-10,17.417999,17.824900,17.330299,17.781099,14.160079,17455799
2015-06-11,17.850000,17.962700,17.455500,17.756100,14.140165,15456424
2015-06-12,17.530701,17.712200,17.349100,17.405500,13.860970,26529332
2015-06-15,17.280199,17.399200,16.967199,17.336599,13.806102,15190171
2015-06-16,17.417999,17.843700,17.324100,17.724800,14.115243,14413133
2015-06-17,17.593300,17.655899,17.286501,17.349100,13.816051,14485167
2015-06-18,17.536900,18.106701,17.292801,18.000200,14.334562,13506722
2015-06-19,17.768600,17.943899,17.499399,17.637100,14.045403,16291919
2015-06-22,17.774900,17.950199,17.593300,17.806200,14.180062,15001062
2015-06-23,17.850000,18.119200,17.762300,17.918900,14.423637,10013805
2015-06-24,17.956400,18.094200,17.799900,18.031601,14.514358,6987910
2015-06-25,18.081600,18.081600,17.562000,17.969000,14.463962,14812273
2015-06-26,17.887600,18.269501,17.887600,18.231899,14.675579,10737976
2015-06-29,17.906300,18.131701,17.655899,17.743500,14.282452,10991771
2015-06-30,17.912600,18.018999,17.705999,17.799900,14.327849,10246038
2015-07-01,17.937599,18.000200,17.655899,17.743500,14.282452,11878696
2015-07-02,17.937599,18.144300,17.824900,18.094200,14.580337,10393779
2015-07-03,17.975201,18.037800,17.756100,17.887600,14.413855,3790635
2015-07-06,17.599600,17.824900,17.424200,17.536900,14.131271,12467743
2015-07-07,17.436800,17.505600,17.029800,17.380400,14.005149,15031409
2015-07-08,17.292801,17.568199,17.104900,17.111200,13.788231,8828363
2015-07-10,17.511900,17.881300,17.405500,17.843700,14.378485,12113005
2015-07-13,18.012800,18.225599,17.787399,18.156799,14.630775,11879654
2015-07-14,18.094200,18.382200,17.937599,18.269501,14.721588,9975792
2015-07-15,18.313299,18.313299,17.981501,18.181801,14.650925,9380675
2015-07-16,18.363400,18.400900,18.000200,18.094200,14.580337,10453993
